w_player1,w_player2,l_player1,l_player2
Annie Martin,Dana Cooke,Anouk Boileau,Marie-Christine Mondor
Chelsea Grimson,Katherine Zakrzewski,Lily Markovic,Rebecca Moskowitz
Asta Baltakys,Bryce Barry,Isabelle Czerveniak,Sara Pothaar
Eydis Dalen,Kristine Wiig,Annie Martin,Dana Cooke
Heike Jensen,Summer Lochowicz,Natalya Shumeyko,Viktoriya Tarasova
Clara Lozano,Nadia Campisi,Ester Alcon,Olga Matveeva
Chiaki Kusuhara,Mika Teru Saiki,Jieqiong Jin,Zhongji Jiang
Liesbet Van Breedam,Liesbeth Mouha,Isabelle Forrer,Sarah Schmocker
Ilka Semmler,Katrin Holtwick,Agatha Bednarczuk,Shaylyn Bede
Eiko Koizumi,Shinako Tanaka,Anna Hu,Yang Li
Bibiana Candelas,Mayra Garcia,Marie-Andree Lessard,Sarah Maxwell
Kamoltip Kulna,Yupa Phokongploy,Asta Baltakys,Bryce Barry
Galyna Osheyko,Svitlana Baburina,Denise Johns,Lucy Boulton
Tatiana Barrera,Virginie Kadjo,Alice Rohkamper,Eileen Romanowski
"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna",Hiromi Suzuki,Satoko Urata
Muriel Graessli,Nadia Erni,Inna Shmat,Natalia Stepanova
Jarunee Sannok,Usa Tenpaksee,Chelsea Grimson,Katherine Zakrzewski
Linjun Ji,Ying Zhang,Eydis Dalen,Kristine Wiig
Clara Lozano,Nadia Campisi,Heike Jensen,Summer Lochowicz
Chiaki Kusuhara,Mika Teru Saiki,Liesbet Van Breedam,Liesbeth Mouha
Ilka Semmler,Katrin Holtwick,Eiko Koizumi,Shinako Tanaka
Bibiana Candelas,Mayra Garcia,Kamoltip Kulna,Yupa Phokongploy
Tatiana Barrera,Virginie Kadjo,Galyna Osheyko,Svitlana Baburina
"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna",Muriel Graessli,Nadia Erni
Daniela Gioria,Lucilla Perrotta,Jarunee Sannok,Usa Tenpaksee
Jia Tian,Jie Wang,Bibiana Candelas,Mayra Garcia
Chiaki Kusuhara,Mika Teru Saiki,Doris Schwaiger,Stefanie Schwaiger
Dalixia Fernandez Grasset,Tamara Larrea Peraza,Morgane Faure,Virginie Sarpaux
Hella Jurich,Rieke Brink-Abeler,Daniela Gioria,Lucilla Perrotta
Ingrid Torlen,Nila Ann Hakedal,Tatiana Barrera,Virginie Kadjo
Lu Wang,Man Zuo,Hana Skalnikova,Tereza Petrova
Linjun Ji,Ying Zhang,Marrit Leenstra,Sanne Keizer
Renata Ribeiro,Talita Antunes,Ilka Semmler,Katrin Holtwick
Ana Paula Henkel,Leila Barros,Clara Lozano,Nadia Campisi
Emilia Nystrom,Erika Nystrom,Efthalia Koutroumanidou,Maria Tsiartsiani
Laura Ludwig,Sara Niedrig,Antje Roder,Helke Claasen
Kathrine Maaseide,Susanne Glesnes,Daniela Gattelli,Giulia Momoli
Inese Jursone,Inguna Minusa,Imara Esteves Ribalta,Milagros Crespo
Carolina Salgado,Maria Clara Salgado,Natalie Cook,Tamsin Hinchley
Alexandra Moiseeva,Natalya Uryadova,Merel Mooren,Rebekka Kadijk
Chen Xue,Xi Zhang,"Andrezza ""Rtvelo"" Martins","Cristine ""Saka"" Santanna"
Jia Tian,Jie Wang,Chiaki Kusuhara,Mika Teru Saiki
Hella Jurich,Rieke Brink-Abeler,Dalixia Fernandez Grasset,Tamara Larrea Peraza
Ingrid Torlen,Nila Ann Hakedal,Lu Wang,Man Zuo
Renata Ribeiro,Talita Antunes,Linjun Ji,Ying Zhang
Ana Paula Henkel,Leila Barros,Emilia Nystrom,Erika Nystrom
