tourney_date,surface,winner1_name,winner1_id,winner2_name,winner2_id,loser1_name,loser1_id,loser2_name,loser2_id
2010-01-03,Hard,Lukas Dlouhy,104160,Leander Paes,102233,Carsten Ball,104958,Sam Querrey,105023
2010-01-03,Hard,Jeremy Chardy,104871,Marc Gicquel,102967,Julian Knowle,102382,Robert Lindstedt,102963
2010-01-03,Hard,Michael Llodra,103566,Andy Ram,103544,Peter Luczak,103429,Joseph Sirianni,102512
2010-01-03,Hard,Marcelo Melo,104249,Bruno Soares,103946,Ross Hutchins,104504,Jordan Kerr,103459
2010-01-03,Hard,Tomas Berdych,104607,Radek Stepanek,103285,Thomaz Bellucci,105064,Paul Hanley,103080
2010-01-03,Hard,James Blake,103484,Andy Roddick,104053,Jaroslav Levinsky,103711,Travis Parrott,103617
2010-01-03,Hard,Ashley Fisher,102659,Stephen Huss,102697,Kaden Hensel,104749,Bernard Tomic,106071
2010-01-03,Hard,Jurgen Melzer,103781,Philipp Petzschner,104332,Martin Damm,102093,Filip Polasek,104583
2010-01-03,Hard,Jurgen Melzer,103781,Philipp Petzschner,104332,Michael Llodra,103566,Andy Ram,103544
2010-01-03,Hard,James Blake,103484,Andy Roddick,104053,Marcelo Melo,104249,Bruno Soares,103946
2010-01-03,Hard,Jeremy Chardy,104871,Marc Gicquel,102967,Tomas Berdych,104607,Radek Stepanek,103285
2010-01-03,Hard,Lukas Dlouhy,104160,Leander Paes,102233,Jurgen Melzer,103781,Philipp Petzschner,104332
2010-01-03,Hard,Jeremy Chardy,104871,Marc Gicquel,102967,James Blake,103484,Andy Roddick,104053
2010-01-03,Hard,Jeremy Chardy,104871,Marc Gicquel,102967,Lukas Dlouhy,104160,Leander Paes,102233
2010-01-04,Hard,Guillermo Garcia Lopez,104198,Albert Montanes,103656,Daniel Nestor,102110,Nenad Zimonjic,102800
2010-01-04,Hard,Frantisek Cermak,102886,Michal Mertinak,103455,Reda El Amrani,105149,Mohammad Ghareeb,103600
2010-01-04,Hard,Mariusz Fyrstenberg,103586,Marcin Matkowski,103690,Marc Lopez,104043,Rafael Nadal,104745
2010-01-04,Hard,Christopher Kas,103577,Dick Norman,101868,Simone Bolelli,104620,Andreas Seppi,104312
2010-01-04,Hard,Marco Chiudinelli,103843,Viktor Troicki,104678,Benjamin Becker,103794,Olivier Rochus,103694
2010-01-04,Hard,Steve Darcis,104327,Lukasz Kubot,103997,Frederico Gil,104523,Oscar Hernandez,103169
2010-01-04,Hard,Evgeny Korolev,105095,Sergiy Stakhovsky,104660,Fabio Fognini,104926,Potito Starace,103808
2010-01-04,Hard,Wesley Moodie,103325,Mikhail Youzhny,104022,Younes El Aynaoui,101962,Abdulla Hajji,108993
2010-01-04,Hard,Yves Allegro,103254,Stanislas Wawrinka,104527,Eric Butorac,103780,Rajeev Ram,104330
2010-01-04,Hard,Marcel Granollers,104719,Santiago Ventura,103490,Michael Kohlmann,102306,Rainer Schuettler,102783
2010-01-04,Hard,Mahesh Bhupathi,102405,Rohan Bopanna,103523,James Cerretani,103859,Travis Rettenmaier,104224
