game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
 1, Annie Martin, Dana Cooke, Anouk Boileau, Marie-Christine Mondor, 1524.691, 1475.309, 0.5000
 2, Chelsea Grimson, Katherine Zakrzewski, Lily Markovic, Rebecca Moskowitz, 1524.691, 1475.309, 0.5000
 3, Asta Baltakys, Bryce Barry, Isabelle Czerveniak, Sara Pothaar, 1524.691, 1475.309, 0.5000
 4, Eydis Dalen, Kristine Wiig, Annie Martin, Dana Cooke, 1526.462, 1498.229, 0.4645
 5, Heike Jensen, Summer Lochowicz, Natalya Shumeyko, Viktoriya Tarasova, 1524.691, 1475.309, 0.5000
 6, Clara Lozano, Nadia Campisi, Ester Alcon, Olga Matveeva, 1524.691, 1475.309, 0.5000
 7, Chiaki Kusuhara, Mika Teru Saiki, Jieqiong Jin, Zhongji Jiang, 1524.691, 1475.309, 0.5000
 8, Liesbet Van Breedam, Liesbeth Mouha, Isabelle Forrer, Sarah Schmocker, 1524.691, 1475.309, 0.5000
 9, Ilka Semmler, Katrin Holtwick, Agatha Bednarczuk, Shaylyn Bede, 1524.691, 1475.309, 0.5000
10, Eiko Koizumi, Shinako Tanaka, Anna Hu, Yang Li, 1524.691, 1475.309, 0.5000
11, Bibiana Candelas, Mayra Garcia, Marie-Andree Lessard, Sarah Maxwell, 1524.691, 1475.309, 0.5000
12, Kamoltip Kulna, Yupa Phokongploy, Asta Baltakys, Bryce Barry, 1526.462, 1498.229, 0.4645
13, Galyna Osheyko, Svitlana Baburina, Denise Johns, Lucy Boulton, 1524.691, 1475.309, 0.5000
14, Tatiana Barrera, Virginie Kadjo, Alice Rohkamper, Eileen Romanowski, 1524.691, 1475.309, 0.5000
15, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Hiromi Suzuki, Satoko Urata, 1524.691, 1475.309, 0.5000
16, Muriel Graessli, Nadia Erni, Inna Shmat, Natalia Stepanova, 1524.691, 1475.309, 0.5000
17, Jarunee Sannok, Usa Tenpaksee, Chelsea Grimson, Katherine Zakrzewski, 1526.462, 1498.229, 0.4645
18, Linjun Ji, Ying Zhang, Eydis Dalen, Kristine Wiig, 1526.590, 1499.872, 0.4620
19, Clara Lozano, Nadia Campisi, Heike Jensen, Summer Lochowicz, 1549.383, 1500.000, 0.5000
20, Chiaki Kusuhara, Mika Teru Saiki, Liesbet Van Breedam, Liesbeth Mouha, 1549.383, 1500.000, 0.5000
21, Ilka Semmler, Katrin Holtwick, Eiko Koizumi, Shinako Tanaka, 1549.383, 1500.000, 0.5000
22, Bibiana Candelas, Mayra Garcia, Kamoltip Kulna, Yupa Phokongploy, 1549.509, 1501.645, 0.4975
23, Tatiana Barrera, Virginie Kadjo, Galyna Osheyko, Svitlana Baburina, 1549.383, 1500.000, 0.5000
24, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Muriel Graessli, Nadia Erni, 1549.383, 1500.000, 0.5000
25, Daniela Gioria, Lucilla Perrotta, Jarunee Sannok, Usa Tenpaksee, 1526.590, 1499.872, 0.4620
26, Jia Tian, Jie Wang, Bibiana Candelas, Mayra Garcia, 1528.267, 1521.242, 0.4292
27, Chiaki Kusuhara, Mika Teru Saiki, Doris Schwaiger, Stefanie Schwaiger, 1570.648, 1478.734, 0.5706
28, Dalixia Fernandez Grasset, Tamara Larrea Peraza, Morgane Faure, Virginie Sarpaux, 1524.691, 1475.309, 0.5000
29, Hella Jurich, Rieke Brink-Abeler, Daniela Gioria, Lucilla Perrotta, 1526.599, 1499.991, 0.4618
