game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
 1, Annie Martin, Dana Cooke, Anouk Boileau, Marie-Christine Mondor, 3099.016, 2900.984, 0.5000
 2, Chelsea Grimson, Katherine Zakrzewski, Lily Markovic, Rebecca Moskowitz, 3099.016, 2900.984, 0.5000
 3, Asta Baltakys, Bryce Barry, Isabelle Czerveniak, Sara Pothaar, 3099.016, 2900.984, 0.5000
 4, Eydis Dalen, Kristine Wiig, Annie Martin, Dana Cooke, 3137.700, 2980.937, 0.3612
 5, Heike Jensen, Summer Lochowicz, Natalya Shumeyko, Viktoriya Tarasova, 3099.016, 2900.984, 0.5000
 6, Clara Lozano, Nadia Campisi, Ester Alcon, Olga Matveeva, 3099.016, 2900.984, 0.5000
 7, Chiaki Kusuhara, Mika Teru Saiki, Jieqiong Jin, Zhongji Jiang, 3099.016, 2900.984, 0.5000
 8, Liesbet Van Breedam, Liesbeth Mouha, Isabelle Forrer, Sarah Schmocker, 3099.016, 2900.984, 0.5000
 9, Ilka Semmler, Katrin Holtwick, Agatha Bednarczuk, Shaylyn Bede, 3099.016, 2900.984, 0.5000
10, Eiko Koizumi, Shinako Tanaka, Anna Hu, Yang Li, 3099.016, 2900.984, 0.5000
11, Bibiana Candelas, Mayra Garcia, Marie-Andree Lessard, Sarah Maxwell, 3099.016, 2900.984, 0.5000
12, Kamoltip Kulna, Yupa Phokongploy, Asta Baltakys, Bryce Barry, 3137.700, 2980.937, 0.3612
13, Galyna Osheyko, Svitlana Baburina, Denise Johns, Lucy Boulton, 3099.016, 2900.984, 0.5000
14, Tatiana Barrera, Virginie Kadjo, Alice Rohkamper, Eileen Romanowski, 3099.016, 2900.984, 0.5000
15, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Hiromi Suzuki, Satoko Urata, 3099.016, 2900.984, 0.5000
16, Muriel Graessli, Nadia Erni, Inna Shmat, Natalia Stepanova, 3099.016, 2900.984, 0.5000
17, Jarunee Sannok, Usa Tenpaksee, Chelsea Grimson, Katherine Zakrzewski, 3137.700, 2980.937, 0.3612
18, Linjun Ji, Ying Zhang, Eydis Dalen, Kristine Wiig, 3154.203, 3005.574, 0.3116
19, Clara Lozano, Nadia Campisi, Heike Jensen, Summer Lochowicz, 3191.428, 3006.604, 0.5000
20, Chiaki Kusuhara, Mika Teru Saiki, Liesbet Van Breedam, Liesbeth Mouha, 3191.428, 3006.604, 0.5000
21, Ilka Semmler, Katrin Holtwick, Eiko Koizumi, Shinako Tanaka, 3191.428, 3006.604, 0.5000
22, Bibiana Candelas, Mayra Garcia, Kamoltip Kulna, Yupa Phokongploy, 3202.372, 3034.425, 0.4446
23, Tatiana Barrera, Virginie Kadjo, Galyna Osheyko, Svitlana Baburina, 3191.428, 3006.604, 0.5000
24, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Muriel Graessli, Nadia Erni, 3191.428, 3006.604, 0.5000
25, Daniela Gioria, Lucilla Perrotta, Jarunee Sannok, Usa Tenpaksee, 3154.203, 3005.574, 0.3116
26, Jia Tian, Jie Wang, Bibiana Candelas, Mayra Garcia, 3190.985, 3060.260, 0.2378
27, Chiaki Kusuhara, Mika Teru Saiki, Doris Schwaiger, Stefanie Schwaiger, 3237.205, 2938.428, 0.7506
