game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
 1, 104160, 102233, 104958, 105023, 1524.691, 1475.309, 0.5000
 2, 104871, 102967, 102382, 102963, 1524.691, 1475.309, 0.5000
 3, 103566, 103544, 103429, 102512, 1524.691, 1475.309, 0.5000
 4, 104249, 103946, 104504, 103459, 1524.691, 1475.309, 0.5000
 5, 104607, 103285, 105064, 103080, 1524.691, 1475.309, 0.5000
 6, 103484, 104053, 103711, 103617, 1524.691, 1475.309, 0.5000
 7, 102659, 102697, 104749, 106071, 1524.691, 1475.309, 0.5000
 8, 103781, 104332, 102093, 104583, 1524.691, 1475.309, 0.5000
 9, 103781, 104332, 103566, 103544, 1547.862, 1501.521, 0.5000
10, 103484, 104053, 104249, 103946, 1547.862, 1501.521, 0.5000
11, 104871, 102967, 104607, 103285, 1547.862, 1501.521, 0.5000
12, 104160, 102233, 103781, 104332, 1549.530, 1524.680, 0.4667
13, 104871, 102967, 103484, 104053, 1569.681, 1526.043, 0.5000
14, 104871, 102967, 104160, 102233, 1589.030, 1528.885, 0.5290
15, 104198, 103656, 102110, 102800, 1524.691, 1475.309, 0.5000
16, 102886, 103455, 105149, 103600, 1524.691, 1475.309, 0.5000
17, 103586, 103690, 104043, 104745, 1524.691, 1475.309, 0.5000
18, 103577, 101868, 104620, 104312, 1524.691, 1475.309, 0.5000
19, 103843, 104678, 103794, 103694, 1524.691, 1475.309, 0.5000
20, 104327, 103997, 104523, 103169, 1524.691, 1475.309, 0.5000
21, 105095, 104660, 104926, 103808, 1524.691, 1475.309, 0.5000
22, 103325, 104022, 101962, 108993, 1524.691, 1475.309, 0.5000
23, 103254, 104527, 103780, 104330, 1524.691, 1475.309, 0.5000
24, 104719, 103490, 102306, 102783, 1524.691, 1475.309, 0.5000
25, 102405, 103523, 103859, 104224, 1524.691, 1475.309, 0.5000
26, 104500, 105072, 103573, 103822, 1524.691, 1475.309, 0.5000
27, 106026, 102845, 104068, 104534, 1524.691, 1475.309, 0.5000
28, 102979, 102836, 103857, 103529, 1524.691, 1475.309, 0.5000
29, 104415, 104159, 104225, 105041, 1524.691, 1475.309, 0.5000
30, 104229, 104386, 103582, 103752, 1524.691, 1475.309, 0.5000
31, 102886, 103455, 104327, 103997, 1547.862, 1501.521, 0.5000
32, 105095, 104660, 103586, 103690, 1547.862, 1501.521, 0.5000
33, 103577, 101868, 103843, 104678, 1547.862, 1501.521, 0.5000
34, 104198, 103656, 103325, 104022, 1547.862, 1501.521, 0.5000
35, 104719, 103490, 106026, 102845, 1547.862, 1501.521, 0.5000
36, 104415, 104159, 102405, 103523, 1547.862, 1501.521, 0.5000
37, 104500, 105072, 102979, 102836, 1547.862, 1501.521, 0.5000
38, 104229, 104386, 103254, 104527, 1547.862, 1501.521, 0.5000
39, 102886, 103455, 105095, 104660, 1569.681, 1526.043, 0.5000
40, 104198, 103656, 103577, 101868, 1569.681, 1526.043, 0.5000
41, 104719, 103490, 104415, 104159, 1569.681, 1526.043, 0.5000
42, 104229, 104386, 104500, 105072, 1569.681, 1526.043, 0.5000
43, 104198, 103656, 102886, 103455, 1590.293, 1549.070, 0.5000
44, 104719, 103490, 104229, 104386, 1590.293, 1549.070, 0.5000
45, 102836, 104547, 103184, 103185, 1524.691, 1475.309, 0.5000
46, 104160, 102233, 103711, 103617, 1546.246, 1455.459, 0.5765
47, 104719, 103990, 102093, 104583, 1523.072, 1453.876, 0.5355
48, 105064, 102987, 102382, 102963, 1523.072, 1453.876, 0.5355
49, 102463, 104338, 104198, 103656, 1531.757, 1566.021, 0.3729
50, 103540, 103828, 104597, 103970, 1524.691, 1475.309, 0.5000
51, 105428, 104486, 104907, 104908, 1524.691, 1475.309, 0.5000
52, 104249, 103946, 103781, 104332, 1524.897, 1502.760, 0.4667
53, 102110, 102800, 103586, 103690, 1500.354, 1478.146, 0.4623
54, 103997, 103594, 103566, 103544, 1525.036, 1479.815, 0.4978
55, 103794, 103822, 102886, 103455, 1528.707, 1527.128, 0.4298
56, 104214, 105095, 103898, 104755, 1524.691, 1475.309, 0.5000
57, 102388, 103080, 103429, 103813, 1524.691, 1475.309, 0.5000
58, 104504, 103459, 103780, 104330, 1498.479, 1452.138, 0.5000
59, 103577, 101868, 104655, 104312, 1544.868, 1476.831, 0.5374
60, 103540, 103828, 104160, 102233, 1549.601, 1525.715, 0.4690
61, 105428, 104486, 104719, 103990, 1547.754, 1500.010, 0.5023
62, 105064, 102987, 102463, 104338, 1546.818, 1507.936, 0.4875
63, 104249, 103946, 102836, 104547, 1545.322, 1501.339, 0.5003
64, 102110, 102800, 103577, 101868, 1525.185, 1522.953, 0.4363
65, 104504, 103459, 103997, 103594, 1521.877, 1499.985, 0.4619
66, 102388, 103080, 104958, 102697, 1546.124, 1476.928, 0.5355
67, 105428, 104486, 103540, 103828, 1569.691, 1527.678, 0.4973
68, 104249, 103946, 105064, 102987, 1564.796, 1524.741, 0.4978
69, 102110, 102800, 104214, 105095, 1545.604, 1501.359, 0.5007
70, 104504, 103459, 102388, 103080, 1543.863, 1522.664, 0.4652
71, 105428, 104486, 104249, 103946, 1590.148, 1546.617, 0.5070
72, 102110, 102800, 104504, 103459, 1565.050, 1524.415, 0.5025
73, 103184, 103185, 103582, 103752, 1498.479, 1452.138, 0.5000
74, 102110, 102800, 105032, 106186, 1579.935, 1479.385, 0.5925
75, 104160, 102233, 102904, 102881, 1542.596, 1476.658, 0.5369
76, 102306, 103813, 102405, 103018, 1524.691, 1475.309, 0.5000
77, 103997, 103594, 103428, 104593, 1521.584, 1475.071, 0.5000
78, 103602, 103344, 102886, 103455, 1527.171, 1507.488, 0.4610
79, 103586, 103690, 104504, 103459, 1501.702, 1503.493, 0.4338
80, 104719, 103990, 105051, 105454, 1521.620, 1475.074, 0.5000
81, 103333, 102811, 103577, 101868, 1526.863, 1503.528, 0.4670
82, 103096, 102968, 102382, 102963, 1521.687, 1435.062, 0.5660
83, 102388, 103080, 103228, 104230, 1541.695, 1476.593, 0.5326
84, 104919, 104547, 104249, 103946, 1528.690, 1527.000, 0.4333
85, 103898, 104327, 103566, 103544, 1523.582, 1460.641, 0.5290
86, 102093, 104583, 104594, 106071, 1478.412, 1471.718, 0.4340
87, 103782, 103429, 103711, 103617, 1521.795, 1436.546, 0.5638
88, 103781, 104332, 104043, 103490, 1521.820, 1475.089, 0.5040
89, 104250, 104500, 103859, 104224, 1523.072, 1453.876, 0.5355
90, 104214, 105095, 104660, 104999, 1522.874, 1475.170, 0.5020
91, 102463, 104486, 103325, 104022, 1525.036, 1479.815, 0.4978
92, 104958, 102697, 103794, 104252, 1501.523, 1473.522, 0.4668
93, 104620, 104312, 105041, 103188, 1500.014, 1473.404, 0.4645
94, 103540, 103828, 104268, 105053, 1546.401, 1476.945, 0.5397
95, 103780, 104330, 105064, 102987, 1478.694, 1499.864, 0.3970
96, 103573, 103822, 103523, 103529, 1500.014, 1473.404, 0.4645
97, 104415, 104159, 104229, 104386, 1548.107, 1528.314, 0.4669
98, 104749, 105286, 103893, 103294, 1524.691, 1475.309, 0.5000
99, 104545, 105023, 102979, 102836, 1525.036, 1479.815, 0.4978
100, 103857, 104534, 103843, 104678, 1525.036, 1479.815, 0.4978
101, 103852, 102783, 104523, 104019, 1524.691, 1475.309, 0.5000
102, 103929, 103938, 105194, 105591, 1524.691, 1475.309, 0.5000
103, 103656, 103506, 104076, 102585, 1524.691, 1475.309, 0.5000
104, 103184, 103185, 103573, 103822, 1520.394, 1478.085, 0.4978
105, 102110, 102800, 103656, 103506, 1594.635, 1504.768, 0.5788
106, 104160, 102233, 102463, 104486, 1559.125, 1502.653, 0.5252
107, 103997, 103594, 103857, 104534, 1542.227, 1501.454, 0.4950
108, 103780, 104330, 103586, 103690, 1500.803, 1480.927, 0.4669
109, 103540, 103828, 104719, 103990, 1564.494, 1502.387, 0.5356
110, 102388, 103080, 104250, 104500, 1559.990, 1500.875, 0.5268
111, 104620, 104312, 102093, 104583, 1520.580, 1459.108, 0.5310
112, 103781, 104332, 104926, 103808, 1537.718, 1454.876, 0.5665
113, 103096, 102968, 103852, 102783, 1545.068, 1501.321, 0.4957
114, 103602, 103344, 104958, 102697, 1548.722, 1481.375, 0.5368
115, 104545, 105023, 103898, 104327, 1548.095, 1500.524, 0.5021
116, 103333, 102811, 104749, 105286, 1549.862, 1501.664, 0.5031
117, 102306, 103813, 104415, 104159, 1549.731, 1527.504, 0.4664
118, 103929, 103938, 103782, 103429, 1547.668, 1498.810, 0.5042
119, 104919, 104547, 104214, 105095, 1551.654, 1502.775, 0.5084
120, 103184, 103185, 103781, 104332, 1542.242, 1519.291, 0.4751
121, 102110, 102800, 103929, 103938, 1609.090, 1528.443, 0.5672
122, 104160, 102233, 104545, 105023, 1575.248, 1526.644, 0.5159
123, 103333, 102811, 103997, 103594, 1571.340, 1523.260, 0.5110
124, 103602, 103344, 102388, 103080, 1571.467, 1540.999, 0.4838
125, 103780, 104330, 104919, 104547, 1523.102, 1526.442, 0.4273
126, 103096, 102968, 103540, 103828, 1568.368, 1545.094, 0.4721
127, 102306, 103813, 104620, 104312, 1569.809, 1501.741, 0.5419
