game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
 1, 104160, 102233, 104958, 105023, 1524.691, 1475.309, 0.5000
 2, 104871, 102967, 102382, 102963, 1524.691, 1475.309, 0.5000
 3, 103566, 103544, 103429, 102512, 1524.691, 1475.309, 0.5000
 4, 104249, 103946, 104504, 103459, 1524.691, 1475.309, 0.5000
 5, 104607, 103285, 105064, 103080, 1524.691, 1475.309, 0.5000
 6, 103484, 104053, 103711, 103617, 1524.691, 1475.309, 0.5000
 7, 102659, 102697, 104749, 106071, 1524.691, 1475.309, 0.5000
 8, 103781, 104332, 102093, 104583, 1524.691, 1475.309, 0.5000
 9, 103781, 104332, 103566, 103544, 1549.383, 1500.000, 0.5000
10, 103484, 104053, 104249, 103946, 1549.383, 1500.000, 0.5000
11, 104871, 102967, 104607, 103285, 1549.383, 1500.000, 0.5000
12, 104160, 102233, 103781, 104332, 1551.153, 1522.921, 0.4645
13, 104871, 102967, 103484, 104053, 1574.074, 1524.691, 0.5000
14, 104871, 102967, 104160, 102233, 1597.153, 1528.074, 0.5329
15, 104198, 103656, 102110, 102800, 1524.691, 1475.309, 0.5000
16, 102886, 103455, 105149, 103600, 1524.691, 1475.309, 0.5000
17, 103586, 103690, 104043, 104745, 1524.691, 1475.309, 0.5000
18, 103577, 101868, 104620, 104312, 1524.691, 1475.309, 0.5000
19, 103843, 104678, 103794, 103694, 1524.691, 1475.309, 0.5000
20, 104327, 103997, 104523, 103169, 1524.691, 1475.309, 0.5000
21, 105095, 104660, 104926, 103808, 1524.691, 1475.309, 0.5000
22, 103325, 104022, 101962, 108993, 1524.691, 1475.309, 0.5000
23, 103254, 104527, 103780, 104330, 1524.691, 1475.309, 0.5000
24, 104719, 103490, 102306, 102783, 1524.691, 1475.309, 0.5000
25, 102405, 103523, 103859, 104224, 1524.691, 1475.309, 0.5000
26, 104500, 105072, 103573, 103822, 1524.691, 1475.309, 0.5000
27, 106026, 102845, 104068, 104534, 1524.691, 1475.309, 0.5000
28, 102979, 102836, 103857, 103529, 1524.691, 1475.309, 0.5000
29, 104415, 104159, 104225, 105041, 1524.691, 1475.309, 0.5000
30, 104229, 104386, 103582, 103752, 1524.691, 1475.309, 0.5000
31, 102886, 103455, 104327, 103997, 1549.383, 1500.000, 0.5000
32, 105095, 104660, 103586, 103690, 1549.383, 1500.000, 0.5000
33, 103577, 101868, 103843, 104678, 1549.383, 1500.000, 0.5000
34, 104198, 103656, 103325, 104022, 1549.383, 1500.000, 0.5000
35, 104719, 103490, 106026, 102845, 1549.383, 1500.000, 0.5000
36, 104415, 104159, 102405, 103523, 1549.383, 1500.000, 0.5000
37, 104500, 105072, 102979, 102836, 1549.383, 1500.000, 0.5000
38, 104229, 104386, 103254, 104527, 1549.383, 1500.000, 0.5000
39, 102886, 103455, 105095, 104660, 1574.074, 1524.691, 0.5000
40, 104198, 103656, 103577, 101868, 1574.074, 1524.691, 0.5000
41, 104719, 103490, 104415, 104159, 1574.074, 1524.691, 0.5000
42, 104229, 104386, 104500, 105072, 1574.074, 1524.691, 0.5000
43, 104198, 103656, 102886, 103455, 1598.765, 1549.383, 0.5000
44, 104719, 103490, 104229, 104386, 1598.765, 1549.383, 0.5000
45, 102836, 104547, 103184, 103185, 1524.691, 1475.309, 0.5000
46, 104160, 102233, 103711, 103617, 1549.112, 1454.271, 0.5754
47, 104719, 103990, 102093, 104583, 1522.956, 1452.353, 0.5355
48, 105064, 102987, 102382, 102963, 1522.956, 1452.353, 0.5355
49, 102463, 104338, 104198, 103656, 1531.874, 1566.891, 0.3616
50, 103540, 103828, 104597, 103970, 1524.691, 1475.309, 0.5000
51, 105428, 104486, 104907, 104908, 1524.691, 1475.309, 0.5000
52, 104249, 103946, 103781, 104332, 1526.334, 1496.586, 0.4671
53, 102110, 102800, 103586, 103690, 1501.771, 1473.538, 0.4645
54, 103997, 103594, 103566, 103544, 1524.691, 1475.309, 0.5000
55, 103794, 103822, 102886, 103455, 1528.257, 1521.125, 0.4294
56, 104214, 105095, 103898, 104755, 1524.691, 1475.309, 0.5000
57, 102388, 103080, 103429, 103813, 1524.691, 1475.309, 0.5000
58, 104504, 103459, 103780, 104330, 1500.000, 1450.617, 0.5000
59, 103577, 101868, 104655, 104312, 1547.647, 1477.044, 0.5355
60, 103540, 103828, 104160, 102233, 1551.134, 1522.670, 0.4649
61, 105428, 104486, 104719, 103990, 1549.259, 1498.388, 0.5025
62, 105064, 102987, 102463, 104338, 1548.283, 1506.547, 0.4872
63, 104249, 103946, 102836, 104547, 1550.909, 1500.117, 0.5024
64, 102110, 102800, 103577, 101868, 1529.772, 1519.646, 0.4344
65, 104504, 103459, 103997, 103594, 1526.462, 1498.229, 0.4645
66, 102388, 103080, 104958, 102697, 1547.647, 1477.044, 0.5355
67, 105428, 104486, 103540, 103828, 1574.084, 1526.309, 0.4973
68, 104249, 103946, 105064, 102987, 1575.414, 1523.778, 0.5038
69, 102110, 102800, 104214, 105095, 1554.103, 1500.360, 0.5073
70, 104504, 103459, 102388, 103080, 1552.671, 1521.438, 0.4695
71, 105428, 104486, 104249, 103946, 1598.870, 1550.628, 0.4981
72, 102110, 102800, 104504, 103459, 1578.693, 1528.081, 0.5021
73, 103184, 103185, 103582, 103752, 1500.000, 1450.617, 0.5000
74, 102110, 102800, 105032, 106186, 1598.022, 1480.671, 0.6114
75, 104160, 102233, 102904, 102881, 1545.766, 1476.904, 0.5326
76, 102306, 103813, 102405, 103018, 1524.691, 1475.309, 0.5000
77, 103997, 103594, 103428, 104593, 1523.047, 1475.183, 0.4975
78, 103602, 103344, 102886, 103455, 1526.205, 1494.921, 0.4696
79, 103586, 103690, 104504, 103459, 1502.173, 1499.447, 0.4221
80, 104719, 103990, 105051, 105454, 1523.194, 1475.194, 0.4977
81, 103333, 102811, 103577, 101868, 1526.098, 1493.548, 0.4718
82, 103096, 102968, 102382, 102963, 1521.383, 1430.970, 0.5681
83, 102388, 103080, 103228, 104230, 1544.621, 1476.818, 0.5308
84, 104919, 104547, 104249, 103946, 1528.348, 1522.279, 0.4277
85, 103898, 104327, 103566, 103544, 1522.956, 1452.353, 0.5355
86, 102093, 104583, 104594, 106071, 1480.483, 1471.869, 0.4319
87, 103782, 103429, 103711, 103617, 1521.512, 1432.758, 0.5654
88, 103781, 104332, 104043, 103490, 1521.521, 1475.066, 0.4951
89, 104250, 104500, 103859, 104224, 1522.956, 1452.353, 0.5355
90, 104214, 105095, 104660, 104999, 1525.026, 1475.334, 0.5005
91, 102463, 104486, 103325, 104022, 1524.691, 1475.309, 0.5000
92, 104958, 102697, 103794, 104252, 1503.381, 1473.663, 0.4670
93, 104620, 104312, 105041, 103188, 1501.771, 1473.538, 0.4645
94, 103540, 103828, 104268, 105053, 1549.153, 1477.156, 0.5378
95, 103780, 104330, 105064, 102987, 1480.616, 1493.780, 0.3962
96, 103573, 103822, 103523, 103529, 1501.771, 1473.538, 0.4645
97, 104415, 104159, 104229, 104386, 1551.153, 1522.921, 0.4645
98, 104749, 105286, 103893, 103294, 1524.691, 1475.309, 0.5000
99, 104545, 105023, 102979, 102836, 1524.691, 1475.309, 0.5000
100, 103857, 104534, 103843, 104678, 1524.691, 1475.309, 0.5000
101, 103852, 102783, 104523, 104019, 1524.691, 1475.309, 0.5000
102, 103929, 103938, 105194, 105591, 1524.691, 1475.309, 0.5000
103, 103656, 103506, 104076, 102585, 1524.691, 1475.309, 0.5000
104, 103184, 103185, 103573, 103822, 1524.817, 1476.953, 0.4975
105, 102110, 102800, 103656, 103506, 1617.699, 1505.014, 0.6040
106, 104160, 102233, 102463, 104486, 1568.974, 1501.484, 0.5303
107, 103997, 103594, 103857, 104534, 1547.855, 1499.883, 0.4976
108, 103780, 104330, 103586, 103690, 1506.852, 1475.937, 0.4690
109, 103540, 103828, 104719, 103990, 1572.021, 1500.326, 0.5373
110, 102388, 103080, 104250, 104500, 1567.787, 1499.790, 0.5311
111, 104620, 104312, 102093, 104583, 1524.963, 1457.291, 0.5306
112, 103781, 104332, 104926, 103808, 1543.001, 1453.829, 0.5661
113, 103096, 102968, 103852, 102783, 1546.309, 1499.765, 0.4952
114, 103602, 103344, 104958, 102697, 1549.290, 1480.295, 0.5328
115, 104545, 105023, 103898, 104327, 1549.259, 1498.388, 0.5025
116, 103333, 102811, 104749, 105286, 1550.689, 1500.100, 0.5020
117, 102306, 103813, 104415, 104159, 1551.281, 1524.563, 0.4620
118, 103929, 103938, 103782, 103429, 1549.157, 1497.047, 0.5046
119, 104919, 104547, 104214, 105095, 1552.804, 1500.571, 0.5048
120, 103184, 103185, 103781, 104332, 1550.810, 1517.008, 0.4739
121, 102110, 102800, 103929, 103938, 1637.689, 1529.167, 0.5974
122, 104160, 102233, 104545, 105023, 1592.276, 1525.957, 0.5283
123, 103333, 102811, 103997, 103594, 1575.179, 1523.365, 0.5041
124, 103602, 103344, 102388, 103080, 1575.305, 1541.772, 0.4734
125, 103780, 104330, 104919, 104547, 1534.859, 1524.797, 0.4343
126, 103096, 102968, 103540, 103828, 1572.845, 1545.485, 0.4631
127, 102306, 103813, 104620, 104312, 1574.125, 1502.120, 0.5378
