game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
 1, 104160, 102233, 104958, 105023, 3043.237, 2956.763, 0.5000
 2, 104871, 102967, 102382, 102963, 3043.237, 2956.763, 0.5000
 3, 103566, 103544, 103429, 102512, 3043.237, 2956.763, 0.5000
 4, 104249, 103946, 104504, 103459, 3043.237, 2956.763, 0.5000
 5, 104607, 103285, 105064, 103080, 3043.237, 2956.763, 0.5000
 6, 103484, 104053, 103711, 103617, 3043.237, 2956.763, 0.5000
 7, 102659, 102697, 104749, 106071, 3043.237, 2956.763, 0.5000
 8, 103781, 104332, 102093, 104583, 3043.237, 2956.763, 0.5000
 9, 103781, 104332, 103566, 103544, 3086.474, 3000.000, 0.5000
10, 103484, 104053, 104249, 103946, 3086.474, 3000.000, 0.5000
11, 104871, 102967, 104607, 103285, 3086.474, 3000.000, 0.5000
12, 104160, 102233, 103781, 104332, 3092.014, 3037.698, 0.4381
13, 104871, 102967, 103484, 104053, 3129.712, 3043.237, 0.5000
14, 104871, 102967, 104160, 102233, 3168.388, 3053.337, 0.5540
15, 104198, 103656, 102110, 102800, 3043.237, 2956.763, 0.5000
16, 102886, 103455, 105149, 103600, 3043.237, 2956.763, 0.5000
17, 103586, 103690, 104043, 104745, 3043.237, 2956.763, 0.5000
18, 103577, 101868, 104620, 104312, 3043.237, 2956.763, 0.5000
19, 103843, 104678, 103794, 103694, 3043.237, 2956.763, 0.5000
20, 104327, 103997, 104523, 103169, 3043.237, 2956.763, 0.5000
21, 105095, 104660, 104926, 103808, 3043.237, 2956.763, 0.5000
22, 103325, 104022, 101962, 108993, 3043.237, 2956.763, 0.5000
23, 103254, 104527, 103780, 104330, 3043.237, 2956.763, 0.5000
24, 104719, 103490, 102306, 102783, 3043.237, 2956.763, 0.5000
25, 102405, 103523, 103859, 104224, 3043.237, 2956.763, 0.5000
26, 104500, 105072, 103573, 103822, 3043.237, 2956.763, 0.5000
27, 106026, 102845, 104068, 104534, 3043.237, 2956.763, 0.5000
28, 102979, 102836, 103857, 103529, 3043.237, 2956.763, 0.5000
29, 104415, 104159, 104225, 105041, 3043.237, 2956.763, 0.5000
30, 104229, 104386, 103582, 103752, 3043.237, 2956.763, 0.5000
31, 102886, 103455, 104327, 103997, 3086.474, 3000.000, 0.5000
32, 105095, 104660, 103586, 103690, 3086.474, 3000.000, 0.5000
33, 103577, 101868, 103843, 104678, 3086.474, 3000.000, 0.5000
34, 104198, 103656, 103325, 104022, 3086.474, 3000.000, 0.5000
35, 104719, 103490, 106026, 102845, 3086.474, 3000.000, 0.5000
36, 104415, 104159, 102405, 103523, 3086.474, 3000.000, 0.5000
37, 104500, 105072, 102979, 102836, 3086.474, 3000.000, 0.5000
38, 104229, 104386, 103254, 104527, 3086.474, 3000.000, 0.5000
39, 102886, 103455, 105095, 104660, 3129.712, 3043.237, 0.5000
40, 104198, 103656, 103577, 101868, 3129.712, 3043.237, 0.5000
41, 104719, 103490, 104415, 104159, 3129.712, 3043.237, 0.5000
42, 104229, 104386, 104500, 105072, 3129.712, 3043.237, 0.5000
43, 104198, 103656, 102886, 103455, 3172.949, 3086.474, 0.5000
44, 104719, 103490, 104229, 104386, 3172.949, 3086.474, 0.5000
45, 102836, 104547, 103184, 103185, 3043.237, 2956.763, 0.5000
46, 104160, 102233, 103711, 103617, 3085.443, 2924.657, 0.6355
47, 104719, 103990, 102093, 104583, 3115.190, 2928.047, 0.6785
48, 105064, 102987, 102382, 102963, 3018.971, 2916.174, 0.5311
49, 102463, 104338, 104198, 103656, 3066.659, 3106.290, 0.2698
