game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
 1, Annie Martin, Dana Cooke, Anouk Boileau, Marie-Christine Mondor, 1569.241, 1430.759, 0.5000
 2, Chelsea Grimson, Katherine Zakrzewski, Lily Markovic, Rebecca Moskowitz, 1569.241, 1430.759, 0.5000
 3, Asta Baltakys, Bryce Barry, Isabelle Czerveniak, Sara Pothaar, 1569.241, 1430.759, 0.5000
 4, Eydis Dalen, Kristine Wiig, Annie Martin, Dana Cooke, 1587.553, 1499.136, 0.4017
 5, Heike Jensen, Summer Lochowicz, Natalya Shumeyko, Viktoriya Tarasova, 1569.241, 1430.759, 0.5000
 6, Clara Lozano, Nadia Campisi, Ester Alcon, Olga Matveeva, 1569.241, 1430.759, 0.5000
 7, Chiaki Kusuhara, Mika Teru Saiki, Jieqiong Jin, Zhongji Jiang, 1569.241, 1430.759, 0.5000
 8, Liesbet Van Breedam, Liesbeth Mouha, Isabelle Forrer, Sarah Schmocker, 1569.241, 1430.759, 0.5000
 9, Ilka Semmler, Katrin Holtwick, Agatha Bednarczuk, Shaylyn Bede, 1569.241, 1430.759, 0.5000
10, Eiko Koizumi, Shinako Tanaka, Anna Hu, Yang Li, 1569.241, 1430.759, 0.5000
11, Bibiana Candelas, Mayra Garcia, Marie-Andree Lessard, Sarah Maxwell, 1569.241, 1430.759, 0.5000
12, Kamoltip Kulna, Yupa Phokongploy, Asta Baltakys, Bryce Barry, 1587.553, 1499.136, 0.4017
13, Galyna Osheyko, Svitlana Baburina, Denise Johns, Lucy Boulton, 1569.241, 1430.759, 0.5000
14, Tatiana Barrera, Virginie Kadjo, Alice Rohkamper, Eileen Romanowski, 1569.241, 1430.759, 0.5000
15, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Hiromi Suzuki, Satoko Urata, 1569.241, 1430.759, 0.5000
16, Muriel Graessli, Nadia Erni, Inna Shmat, Natalia Stepanova, 1569.241, 1430.759, 0.5000
17, Jarunee Sannok, Usa Tenpaksee, Chelsea Grimson, Katherine Zakrzewski, 1587.553, 1499.136, 0.4017
18, Linjun Ji, Ying Zhang, Eydis Dalen, Kristine Wiig, 1592.051, 1514.136, 0.3766
19, Clara Lozano, Nadia Campisi, Heike Jensen, Summer Lochowicz, 1629.466, 1509.015, 0.5000
20, Chiaki Kusuhara, Mika Teru Saiki, Liesbet Van Breedam, Liesbeth Mouha, 1629.466, 1509.015, 0.5000
21, Ilka Semmler, Katrin Holtwick, Eiko Koizumi, Shinako Tanaka, 1629.466, 1509.015, 0.5000
22, Bibiana Candelas, Mayra Garcia, Kamoltip Kulna, Yupa Phokongploy, 1632.742, 1524.301, 0.4737
23, Tatiana Barrera, Virginie Kadjo, Galyna Osheyko, Svitlana Baburina, 1629.466, 1509.015, 0.5000
24, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Muriel Graessli, Nadia Erni, 1629.466, 1509.015, 0.5000
25, Daniela Gioria, Lucilla Perrotta, Jarunee Sannok, Usa Tenpaksee, 1592.051, 1514.136, 0.3766
