game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
 1, Annie Martin, Dana Cooke, Anouk Boileau, Marie-Christine Mondor, 3043.237, 2956.763, 0.5000
 2, Chelsea Grimson, Katherine Zakrzewski, Lily Markovic, Rebecca Moskowitz, 3043.237, 2956.763, 0.5000
 3, Asta Baltakys, Bryce Barry, Isabelle Czerveniak, Sara Pothaar, 3043.237, 2956.763, 0.5000
 4, Eydis Dalen, Kristine Wiig, Annie Martin, Dana Cooke, 3048.776, 2994.461, 0.4381
 5, Heike Jensen, Summer Lochowicz, Natalya Shumeyko, Viktoriya Tarasova, 3043.237, 2956.763, 0.5000
 6, Clara Lozano, Nadia Campisi, Ester Alcon, Olga Matveeva, 3043.237, 2956.763, 0.5000
 7, Chiaki Kusuhara, Mika Teru Saiki, Jieqiong Jin, Zhongji Jiang, 3043.237, 2956.763, 0.5000
 8, Liesbet Van Breedam, Liesbeth Mouha, Isabelle Forrer, Sarah Schmocker, 3043.237, 2956.763, 0.5000
 9, Ilka Semmler, Katrin Holtwick, Agatha Bednarczuk, Shaylyn Bede, 3043.237, 2956.763, 0.5000
10, Eiko Koizumi, Shinako Tanaka, Anna Hu, Yang Li, 3043.237, 2956.763, 0.5000
11, Bibiana Candelas, Mayra Garcia, Marie-Andree Lessard, Sarah Maxwell, 3043.237, 2956.763, 0.5000
12, Kamoltip Kulna, Yupa Phokongploy, Asta Baltakys, Bryce Barry, 3048.776, 2994.461, 0.4381
13, Galyna Osheyko, Svitlana Baburina, Denise Johns, Lucy Boulton, 3043.237, 2956.763, 0.5000
14, Tatiana Barrera, Virginie Kadjo, Alice Rohkamper, Eileen Romanowski, 3043.237, 2956.763, 0.5000
15, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Hiromi Suzuki, Satoko Urata, 3043.237, 2956.763, 0.5000
16, Muriel Graessli, Nadia Erni, Inna Shmat, Natalia Stepanova, 3043.237, 2956.763, 0.5000
17, Jarunee Sannok, Usa Tenpaksee, Chelsea Grimson, Katherine Zakrzewski, 3048.776, 2994.461, 0.4381
18, Linjun Ji, Ying Zhang, Eydis Dalen, Kristine Wiig, 3049.507, 2999.269, 0.4303
19, Clara Lozano, Nadia Campisi, Heike Jensen, Summer Lochowicz, 3086.474, 3000.000, 0.5000
20, Chiaki Kusuhara, Mika Teru Saiki, Liesbet Van Breedam, Liesbeth Mouha, 3086.474, 3000.000, 0.5000
21, Ilka Semmler, Katrin Holtwick, Eiko Koizumi, Shinako Tanaka, 3086.474, 3000.000, 0.5000
22, Bibiana Candelas, Mayra Garcia, Kamoltip Kulna, Yupa Phokongploy, 3087.166, 3004.847, 0.4920
23, Tatiana Barrera, Virginie Kadjo, Galyna Osheyko, Svitlana Baburina, 3086.474, 3000.000, 0.5000
24, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Muriel Graessli, Nadia Erni, 3086.474, 3000.000, 0.5000
25, Daniela Gioria, Lucilla Perrotta, Jarunee Sannok, Usa Tenpaksee, 3049.507, 2999.269, 0.4303
26, Jia Tian, Jie Wang, Bibiana Candelas, Mayra Garcia, 3054.685, 3032.482, 0.3771
27, Chiaki Kusuhara, Mika Teru Saiki, Doris Schwaiger, Stefanie Schwaiger, 3119.658, 2966.816, 0.6219
28, Dalixia Fernandez Grasset, Tamara Larrea Peraza, Morgane Faure, Virginie Sarpaux, 3043.237, 2956.763, 0.5000
29, Hella Jurich, Rieke Brink-Abeler, Daniela Gioria, Lucilla Perrotta, 3049.604, 2999.903, 0.4292
30, Ingrid Torlen, Nila Ann Hakedal, Tatiana Barrera, Virginie Kadjo, 3054.590, 3031.884, 0.3781
31, Lu Wang, Man Zuo, Hana Skalnikova, Tereza Petrova, 3043.237, 2956.763, 0.5000
32, Linjun Ji, Ying Zhang, Marrit Leenstra, Sanne Keizer, 3086.811, 2962.696, 0.5708
33, Renata Ribeiro, Talita Antunes, Ilka Semmler, Katrin Holtwick, 3054.590, 3031.884, 0.3781
34, Ana Paula Henkel, Leila Barros, Clara Lozano, Nadia Campisi, 3054.590, 3031.884, 0.3781
35, Emilia Nystrom, Erika Nystrom, Efthalia Koutroumanidou, Maria Tsiartsiani, 3043.237, 2956.763, 0.5000
36, Laura Ludwig, Sara Niedrig, Antje Roder, Helke Claasen, 3043.237, 2956.763, 0.5000
